id,name,country,position,second_position,club,age,born,matches_played,matches_started,minutes_played,goals,assists,goals_and_assists,yellow_cards,red_cards
203,Lamine Diack,SEN,Forward,Midfielder,Colorado Rapids,23,2000,4,0,19,0,0,0,0,0
204,Djibril Diani,FRA,Midfielder,,Charlotte,25,1998,28,21,"1,781",1,1,2,4,0
205,Marcos Dias,BRA,Forward,,NE Revolution,22,2001,1,0,4,0,0,0,0,0
206,Jefferson Díaz,COL,Defender,,Minnesota Utd,23,2000,9,9,797,0,0,0,4,0
207,Ronald Donkor,MLI,Midfielder,Defender,NY Red Bulls,19,2004,17,12,939,0,0,0,2,0
208,Christopher Donovan,USA,Forward,Midfielder,Philadelphia Union,23,2000,18,4,379,1,0,1,0,0
209,Griffin Dorsey,USA,Defender,,Houston Dynamo,24,1999,32,31,"2,653",3,3,6,7,1
210,C.J. dos Santos,USA,Keeper,,Inter Miami,23,2000,1,1,90,0,0,0,0,0
211,Hassani Dotson,USA,Midfielder,,Minnesota Utd,26,1997,29,26,"2,250",5,2,7,4,1
212,Sebastián Driussi,ARG,Midfielder,Forward,Austin,27,1996,27,26,"2,257",7,3,10,6,1
213,Erik Duenas,USA,Midfielder,,LAFC,19,2004,14,4,387,0,0,0,3,0
214,Morris Duggan,GER,Defender,,Minnesota Utd,23,2000,2,0,49,0,0,0,0,0
215,Bryce Duke,USA,Midfielder,,CF Montréal,22,2001,32,24,"2,145",3,4,7,2,0
216,Kyle Duncan,USA,Defender,,NY Red Bulls,26,1997,21,14,"1,284",1,1,2,4,0
217,Chris Durkin,USA,Midfielder,,St. Louis,23,2000,28,26,"2,260",1,2,3,10,0
218,Nikolas Dyhr,DEN,Defender,,St. Louis,22,2001,5,2,138,0,0,0,0,0
219,Jeremy Ebobisse,USA,Forward,,SJ Earthquakes,26,1997,31,25,"1,933",6,1,7,0,0
220,Daniel Edelman,USA,Midfielder,,NY Red Bulls,20,2003,31,29,"2,524",0,0,0,9,1
221,Earl Edwards Jr.,USA,Keeper,,NE Revolution,32,1992,1,1,90,0,0,0,0,0
222,Matthew Edwards,USA,Defender,,Atlanta Utd,20,2003,1,0,2,0,0,0,0,0
223,Michael Edwards,USA,Defender,,Colorado Rapids,23,2000,4,2,208,1,0,1,1,0
224,Raheem Edwards,CAN,Defender,Midfielder,CF Montréal,28,1995,25,18,"1,549",0,5,5,8,1
225,Noah Eile,SWE,Defender,,NY Red Bulls,21,2002,29,27,"2,418",0,1,1,6,1
226,Piero Elias,USA,Forward,,NYCFC,21,2002,1,0,1,0,0,0,0,0
227,Jack Elliott,ENG,Defender,,Philadelphia Union,28,1995,28,27,"2,391",0,2,2,7,1
228,Herbert Endeley,USA,Midfielder,Defender,FC Dallas,22,2001,4,1,113,0,0,0,0,0
229,Emeka Eneli,USA,Midfielder,,Real Salt Lake,24,1999,33,31,"2,668",1,1,2,6,0
230,Lawrence Ennali,GER,Forward,,Houston Dynamo,21,2002,2,0,49,1,0,1,0,0
231,Boris Enow,CMR,Midfielder,,D.C. United,23,2000,7,3,302,0,0,0,3,1
232,Ramiro Enrique,ARG,Forward,,Orlando City,22,2001,20,12,"1,084",8,2,10,4,0
233,Victor Enriquez,,Midfielder,,Portland Timbers,,,1,0,6,0,0,0,0,0
234,Victor Eriksson,SWE,Defender,,Minnesota Utd,23,2000,4,2,166,0,0,0,0,0
235,Franco Escobar,ARG,Defender,,Houston Dynamo,28,1995,24,21,"1,818",2,1,3,12,1
236,Cristian Espinoza,ARG,Forward,Midfielder,SJ Earthquakes,28,1995,34,34,"2,969",4,13,17,5,0
237,Derrick Etienne,HAI,Midfielder,Forward,Toronto FC,27,1996,23,19,"1,649",3,0,3,2,0
238,Derrick Etienne,HAI,Forward,Midfielder,Atlanta Utd,27,1996,2,0,27,0,0,0,0,0
239,Evander,BRA,Midfielder,,Portland Timbers,25,1998,28,27,"2,459",15,15,30,8,0
240,Diego Fagúndez,URU,Forward,Midfielder,LA Galaxy,28,1995,34,19,"1,671",4,1,5,2,0
241,Marco Farfan,USA,Defender,,FC Dallas,25,1998,26,23,"2,024",1,1,2,4,0
242,Bryant Farkarlun,LBR,Forward,,Austin,22,2001,1,0,7,0,0,0,0,0
243,Andrew Farrell,USA,Defender,Midfielder,NE Revolution,31,1992,14,6,552,0,0,0,0,0
244,Logan Farrington,USA,Forward,Midfielder,FC Dallas,22,2001,29,10,"1,225",4,5,9,4,0
245,Mohamed Farsi,ALG,Defender,,Columbus Crew,24,1999,27,21,"1,872",4,2,6,1,0
246,Felipe,BRA,Midfielder,Forward,Orlando City,33,1990,14,4,355,0,0,0,3,0
247,Joaquín Fernández,ESP,Defender,,Sporting KC,27,1996,2,2,115,0,0,0,0,0
248,Julián Fernández,ARG,Forward,Midfielder,NYCFC,20,2004,21,6,674,2,2,4,1,1
249,Omir Fernandez,USA,Forward,Midfielder,Colorado Rapids,24,1999,33,19,"1,691",2,3,5,0,0
250,Jesús Ferreira,USA,Midfielder,Forward,FC Dallas,23,2000,22,14,"1,319",5,3,8,0,0
251,Sebastián Ferreira,PAR,Forward,,Houston Dynamo,25,1998,18,6,723,5,3,8,2,0
252,Ethan Finlay,USA,Forward,Midfielder,Austin,33,1990,22,8,831,1,0,1,0,0
253,Nicolas Firmino,USA,Forward,Midfielder,Atlanta Utd,23,2001,8,2,165,0,0,0,0,0
254,Leon Flach,USA,Midfielder,,Philadelphia Union,22,2001,23,22,"1,823",0,3,3,2,0
255,Kristian Fletcher,USA,Forward,Midfielder,D.C. United,18,2005,13,1,246,1,0,1,1,0
256,Nicolas Fleuriau,CAN,Defender,Forward,Vancouver W'caps,21,2002,2,0,40,0,0,0,1,0
257,Deybi Flores,HON,Midfielder,,Toronto FC,27,1996,29,23,"2,089",1,1,2,9,0
258,CJ Fodrey,USA,Forward,Midfielder,Austin,19,2004,12,0,196,0,1,1,3,0
259,Nathan Fogaça,BRA,Forward,Midfielder,Portland Timbers,24,1999,16,1,182,1,0,1,1,0
260,Andreu Fontàs,ESP,Defender,,Sporting KC,34,1989,17,16,"1,409",0,1,1,4,0
261,Emil Forsberg,SWE,Midfielder,,NY Red Bulls,32,1991,19,15,"1,356",9,4,13,1,0
262,Ajani Fortune,TRI,Midfielder,Forward,Atlanta Utd,21,2002,27,13,"1,307",1,2,3,4,0
263,Isaiah Foster,USA,Defender,,FC Cincinnati,20,2003,1,0,4,0,0,0,0,0
264,Franco Fragapane,ARG,Midfielder,Forward,Minnesota Utd,30,1993,24,6,830,1,2,3,1,0
265,Kobe Franklin,CAN,Defender,Midfielder,Toronto FC,20,2003,21,5,709,0,1,1,1,0
266,Liam Fraser,CAN,Midfielder,,FC Dallas,25,1998,18,17,"1,378",1,1,2,4,0
267,Ian Fray,USA,Defender,,Inter Miami,21,2002,14,7,653,2,0,2,4,0
268,Wayne Frederick,TRI,Midfielder,,Colorado Rapids,19,2004,1,0,1,0,0,0,0,0
269,Alexander Freeman,USA,Defender,Midfielder,Orlando City,19,2004,2,0,10,0,1,1,0,0
270,Matt Freese,USA,Keeper,,NYCFC,25,1998,34,34,"2,981",0,0,0,3,0
271,Stefan Frei,SUI,Keeper,,Seattle Sounders FC,37,1986,29,29,"2,464",0,0,0,0,1
272,Nicolás Freire,ARG,Defender,,Inter Miami,29,1994,10,9,738,0,0,0,1,0
273,Malcolm Fry,USA,Forward,,NE Revolution,18,2005,2,0,31,0,0,0,0,0
274,Julian Gaines,USA,Defender,,Nashville SC,21,2002,4,2,222,0,0,0,1,0
275,McKinze Gaines,USA,Forward,Midfielder,Houston Dynamo,25,1998,11,0,154,0,0,0,1,0
276,McKinze Gaines,USA,Midfielder,Defender,Nashville SC,25,1998,4,1,124,0,1,1,0,0
277,Jon Gallagher,IRL,Defender,,Austin,27,1996,32,30,"2,661",3,2,5,5,0
278,Pedro Gallese,PER,Keeper,,Orlando City,33,1990,29,29,"2,610",0,0,0,2,0
279,Jeremy Garay,SLV,Forward,,D.C. United,20,2003,2,0,10,0,0,0,0,0
280,Carlos Garcés,COL,Defender,,LA Galaxy,22,2001,9,4,396,0,0,0,0,0
281,Chase Gasper,USA,Defender,,Chicago Fire,28,1996,4,2,240,0,0,0,1,0
282,Ryan Gauld,SCO,Forward,Midfielder,Vancouver W'caps,28,1995,30,28,"2,455",10,12,22,3,0
283,Luka Gavran,CAN,Keeper,,Toronto FC,23,2000,9,9,810,0,0,0,0,0
284,Dániel Gazdag,HUN,Midfielder,Forward,Philadelphia Union,27,1996,30,28,"2,498",17,2,19,6,0
285,Giorgos Giakoumakis,GRE,Forward,,Atlanta Utd,29,1994,11,8,721,5,1,6,3,0
286,Carles Gil,ESP,Midfielder,,NE Revolution,31,1992,26,26,"2,288",7,5,12,4,0
287,Nacho Gil,ESP,Forward,Midfielder,NE Revolution,28,1995,17,6,632,1,1,2,3,0
288,Gastón Giménez,PAR,Midfielder,,Chicago Fire,32,1991,29,18,"1,690",1,2,3,2,0
289,Nicholas Gioacchini,USA,Forward,Midfielder,FC Cincinnati,23,2000,8,6,433,0,0,0,0,0
290,Jake Girdwood-Reich,AUS,Midfielder,Forward,St. Louis,19,2004,8,1,149,0,0,0,0,0
291,Olivier Giroud,FRA,Forward,,LAFC,37,1986,10,7,605,0,1,1,0,0
292,Dennis Gjengaar,NOR,Midfielder,Forward,NY Red Bulls,19,2004,25,9,933,2,0,2,0,0
293,Justen Glad,USA,Defender,,Real Salt Lake,26,1997,26,25,"2,250",0,0,0,4,0
294,Omari Glasgow,GUY,Midfielder,,Chicago Fire,20,2003,2,0,36,0,0,0,0,0
295,Jakob Glesnes,NOR,Defender,,Philadelphia Union,29,1994,32,31,"2,804",2,2,4,3,0
296,Caden Glover,USA,Forward,,St. Louis,16,2007,5,0,54,0,0,0,0,0
297,Aníbal Godoy,PAN,Midfielder,,Nashville SC,33,1990,23,17,"1,492",1,3,4,8,0
298,Yeimar Gómez Andrade,COL,Defender,,Seattle Sounders FC,31,1992,30,28,"2,470",1,0,1,5,0
299,Carlos Gómez,COL,Forward,,Real Salt Lake,21,2002,23,22,"1,807",13,7,20,6,0
300,Diego Gómez,PAR,Forward,Midfielder,Inter Miami,20,2003,19,15,"1,354",3,3,6,6,0
301,Nicksoen Gomis,FRA,Defender,,Toronto FC,21,2002,24,23,"2,041",0,0,0,5,1
302,Diogo Gonçalves,POR,Midfielder,Forward,Real Salt Lake,26,1997,9,6,550,2,0,2,0,0
303,Omar Gonzalez,USA,Defender,,FC Dallas,35,1988,15,10,837,0,0,0,2,0
304,Zavier Gozo,USA,Forward,,Real Salt Lake,16,2007,1,0,12,0,0,0,0,0
305,Tayvon Gray,JAM,Defender,,NYCFC,21,2002,27,19,"1,635",1,7,8,4,0
306,Ján Greguš,SVK,Midfielder,,Houston Dynamo,33,1991,7,4,382,0,0,0,0,0
307,Julian Gressel,USA,Midfielder,Forward,Inter Miami,30,1993,32,31,"2,340",1,9,10,2,0
308,Carlos Gruezo,ECU,Midfielder,,SJ Earthquakes,28,1995,24,23,"1,969",0,0,0,9,0
309,Brian Gutiérrez,USA,Midfielder,Forward,Chicago Fire,20,2003,32,26,"2,374",6,3,9,5,0
310,Andrew Gutman,USA,Defender,,Chicago Fire,27,1996,11,11,727,1,1,2,1,0
311,Brad Guzan,USA,Keeper,,Atlanta Utd,39,1984,32,32,"2,849",0,0,0,3,1
312,Justin Haak,USA,Defender,Midfielder,NYCFC,22,2001,15,6,782,0,0,0,5,0
313,Taha Habroune,USA,Midfielder,,Columbus Crew,17,2006,5,1,92,0,0,0,1,0
314,Teenage Hadebe,ZIM,Defender,,FC Cincinnati,28,1995,4,3,186,0,1,1,1,0
315,Nicholas Hagen,GUA,Keeper,,Columbus Crew,27,1996,4,3,326,0,0,0,0,0
316,Nick Hagglund,USA,Defender,,FC Cincinnati,31,1992,10,6,462,0,0,0,0,0
317,Maren Haile-Selassie,SUI,Forward,Midfielder,Chicago Fire,24,1999,27,23,"2,035",5,2,7,1,0
318,Belal Halbouni,SYR,Defender,,Vancouver W'caps,24,1999,3,2,168,0,0,0,0,0
319,Julian Hall,USA,Midfielder,Forward,NY Red Bulls,15,2008,11,0,160,2,1,3,0,0
320,Michael Halliday,USA,Defender,,Orlando City,21,2003,6,0,110,0,0,0,1,0
321,Bret Halsey,USA,Defender,,FC Cincinnati,23,2000,21,3,482,0,0,0,2,1
322,Ian Harkes,USA,Midfielder,,NE Revolution,28,1995,27,17,"1,606",1,0,1,6,1
323,Cameron Harper,USA,Midfielder,Defender,NY Red Bulls,22,2001,27,16,"1,419",5,0,5,3,0
324,Nathan Harriel,USA,Defender,,Philadelphia Union,22,2001,29,27,"2,372",2,4,6,4,0
325,Calvin Harris,ENG,Forward,,Colorado Rapids,23,2000,32,16,"1,523",3,3,6,5,0
326,Marcel Hartel,GER,Midfielder,Forward,St. Louis,28,1996,9,9,810,3,5,8,3,0
327,Carlos Harvey,PAN,Defender,Midfielder,Minnesota Utd,23,2000,18,12,"1,046",0,1,1,1,0
328,Thomas Hasal,CAN,Keeper,,LAFC,24,1999,1,1,90,0,0,0,0,0
329,Matt Hedges,USA,Defender,,Austin,33,1990,15,10,875,1,0,1,1,0
330,Fabian Herbers,GER,Midfielder,,Chicago Fire,30,1993,30,24,"2,037",3,4,7,8,0
331,Jay Herdman,NZL,Forward,,Vancouver W'caps,19,2004,1,0,10,0,0,0,0,0
332,Felipe Hernandez,USA,Midfielder,,Sporting KC,25,1998,7,2,377,0,0,0,1,0
333,Ronald Hernández,VEN,Defender,,Atlanta Utd,26,1997,13,7,710,0,1,1,0,0
334,Aaron Herrera,GUA,Defender,,D.C. United,26,1997,30,29,"2,594",1,4,5,9,0
335,Héctor Herrera,MEX,Midfielder,,Houston Dynamo,33,1990,22,19,"1,616",1,1,2,3,0
336,Marcelo Herrera,ARG,Defender,,Columbus Crew,25,1998,10,5,472,1,0,1,1,0
337,Kyle Hiebert,CAN,Defender,,St. Louis,26,1997,20,14,"1,365",0,0,0,1,0
338,Brendan Hines-Ike,USA,Defender,,Austin,29,1994,28,25,"2,221",2,1,3,6,1
339,Marino Hinestroza,COL,Midfielder,Forward,Columbus Crew,21,2002,16,4,353,2,0,2,0,1
340,Bongokuhle Hlongwane,RSA,Forward,Defender,Minnesota Utd,23,2000,32,23,"1,921",11,4,15,2,0
341,Ryan Hollingshead,USA,Defender,Midfielder,LAFC,32,1991,31,25,"2,207",1,2,3,4,0
342,Jackson Hopkins,USA,Midfielder,,D.C. United,19,2004,17,12,955,0,0,0,4,0
343,Jannes Horn,GER,Defender,,St. Louis,26,1997,9,7,561,0,1,1,4,0
344,Sebastien Ibeagha,USA,Defender,,FC Dallas,32,1992,31,31,"2,790",2,0,2,7,0
345,Aliyu Ibrahim,NGA,Forward,,Houston Dynamo,22,2002,34,33,"2,650",6,4,10,4,0
346,Sunusi Ibrahim,NGA,Forward,Midfielder,CF Montréal,21,2002,25,10,"1,006",6,1,7,0,0
347,Tega Ikoba,USA,Forward,Midfielder,Portland Timbers,20,2003,2,0,9,0,0,0,0,0
348,Mitja Ilenič,SVN,Defender,,NYCFC,19,2004,23,16,"1,467",1,0,1,1,1
349,Asier Illarramendi,ESP,Midfielder,,FC Dallas,33,1990,25,22,"1,952",2,5,7,8,0
350,Bjørn Inge Utvik,NOR,Defender,,Vancouver W'caps,27,1996,23,19,"1,707",0,0,0,1,1
351,Lorenzo Insigne,ITA,Midfielder,Forward,Toronto FC,32,1991,23,17,"1,352",4,5,9,4,0
352,Clint Irwin,USA,Keeper,,Minnesota Utd,34,1989,5,5,450,0,0,0,0,0
353,Aljaž Ivačič,SVN,Keeper,,NE Revolution,30,1993,25,25,"2,250",0,0,0,2,0
354,Ousman jabang,USA,Defender,,CF Montréal,22,2001,1,0,3,0,0,0,0,0
355,Aziel Jackson,USA,Midfielder,,Columbus Crew,22,2001,9,5,357,2,2,4,0,0
356,Aziel Jackson,USA,Forward,Midfielder,St. Louis,22,2001,16,8,800,0,0,0,3,0
357,Jacob Jackson,USA,Keeper,,SJ Earthquakes,23,2000,3,3,270,0,0,0,0,0
358,Robin Jansson,SWE,Defender,,Orlando City,32,1991,30,30,"2,660",1,0,1,8,0
359,Andres Jasson,USA,Midfielder,Forward,NYCFC,22,2002,3,2,157,0,0,0,0,0
360,Mohanad Jeahze,IRQ,Midfielder,,D.C. United,26,1997,1,0,1,0,0,0,0,0
361,Danley Jean-Jacques,HAI,Midfielder,,Philadelphia Union,23,2000,8,4,447,0,0,0,0,0
362,Hector Jiménez,USA,Defender,,Austin,35,1988,15,6,578,0,1,1,2,0
363,Stiven Jimenez,USA,Midfielder,,FC Cincinnati,16,2007,1,0,4,0,0,0,0,0
364,Levonte Johnson,CAN,Forward,Midfielder,Vancouver W'caps,24,1999,25,7,669,0,0,0,1,0
365,Sean Johnson,USA,Keeper,,Toronto FC,34,1989,25,25,"2,250",0,0,0,5,0
366,DeJuan Jones,USA,Defender,,NE Revolution,26,1997,17,16,"1,413",0,2,2,1,0
367,DeJuan Jones,USA,Defender,,Columbus Crew,26,1997,10,4,409,2,0,2,0,0
368,Derrick Jones,USA,Midfielder,,Columbus Crew,26,1997,20,4,477,0,1,1,3,1
369,Isaiah Jones,USA,Midfielder,Forward,Nashville SC,17,2006,2,0,12,0,0,0,0,0
370,Malachi Jones,SLE,Forward,,NYCFC,20,2003,14,4,488,1,1,2,3,0
371,Dejan Joveljić,SRB,Forward,,LA Galaxy,24,1999,28,23,"1,927",15,5,20,2,0
372,Mykhi Joyner,USA,Forward,,St. Louis,17,2006,1,0,45,0,0,0,0,0
373,Preston Judd,USA,Forward,,SJ Earthquakes,24,1999,26,6,720,1,0,1,4,1
374,Anderson Julio,ECU,Forward,Midfielder,Real Salt Lake,27,1996,33,13,"1,394",9,3,12,1,0
375,Sam Junqua,USA,Defender,,FC Dallas,27,1996,31,26,"2,240",1,2,3,2,0
376,Sawyer Jura,USA,Defender,,Portland Timbers,17,2006,1,0,3,0,0,0,0,0
377,Cyprian Kachwele,TAN,Midfielder,,Vancouver W'caps,18,2005,1,0,3,0,0,0,0,0
378,Kristijan Kahlina,CRO,Keeper,,Charlotte,31,1992,34,34,"3,060",0,0,0,5,0
379,Brent Kallman,USA,Defender,,Nashville SC,33,1990,13,5,544,0,0,0,1,0
380,Kei Kamara,SLE,Forward,,LAFC,39,1984,27,10,"1,007",3,5,8,2,0
381,Bernard Kamungo,USA,Midfielder,Forward,FC Dallas,22,2002,29,13,"1,321",0,2,2,2,0
382,Alec Kann,USA,Keeper,,FC Cincinnati,33,1990,3,3,270,0,0,0,0,0
383,Alexandros Katranis,GRE,Defender,,Real Salt Lake,25,1998,29,23,"1,994",3,3,6,9,0
384,Mark-Anthony Kaye,CAN,Midfielder,,NE Revolution,29,1994,21,15,"1,392",0,0,0,1,0
385,Kipp Keller,USA,Defender,,FC Cincinnati,23,2000,16,10,819,0,0,0,1,0
386,Kevin Kelsy,VEN,Forward,,FC Cincinnati,19,2004,23,16,"1,241",6,0,6,6,0
387,Deandre Kerr,CAN,Forward,,Toronto FC,21,2002,26,12,990,3,1,4,2,0
388,Henry Kessler,USA,Defender,,NE Revolution,25,1998,17,15,"1,388",0,0,0,6,0
389,Henry Kessler,USA,Defender,,St. Louis,25,1998,8,8,675,1,0,1,1,0
390,Hosei Kijima,JPN,Midfielder,Forward,St. Louis,21,2002,18,8,784,1,1,2,4,0
391,Benjamin Kikanovic,USA,Forward,Defender,SJ Earthquakes,24,2000,24,13,"1,253",3,0,3,3,0
392,Sota Kitahara,USA,Defender,Midfielder,Seattle Sounders FC,21,2003,2,2,147,0,0,0,0,0
393,Klauss,BRA,Forward,,St. Louis,26,1997,27,23,"1,961",5,3,8,3,0
394,John Klein,USA,Forward,Midfielder,St. Louis,24,1999,10,6,545,1,1,2,0,0
395,Mateusz Klich,POL,Midfielder,,D.C. United,33,1990,31,31,"2,664",2,5,7,10,0
396,Jeorgio Kocevski,USA,Midfielder,Forward,Orlando City,21,2002,11,1,157,0,0,0,0,0
397,Žan Kolmanič,SVN,Defender,Forward,Austin,23,2000,15,6,537,0,3,3,2,0
398,Georgios Koutsias,GRE,Forward,Midfielder,Chicago Fire,19,2004,30,5,810,2,1,3,2,0
399,Sebastian Kowalczyk,POL,Forward,Midfielder,Houston Dynamo,25,1998,33,24,"2,147",4,1,5,7,0
400,Damir Kreilach,CRO,Forward,,Vancouver W'caps,34,1989,17,6,468,2,0,2,0,0
401,Serhiy Kryvtsov,UKR,Defender,,Inter Miami,32,1991,23,16,"1,390",1,0,1,4,0
402,Theodore Ku-Dipietro,USA,Midfielder,Forward,D.C. United,22,2002,29,24,"1,864",2,4,6,2,0
403,Yuya Kubo,JPN,Forward,Defender,FC Cincinnati,30,1993,32,27,"2,398",10,2,12,5,0
404,Mathías Laborda,URU,Defender,,Vancouver W'caps,24,1999,26,23,"1,953",2,0,2,3,0
405,Luca Langoni,ARG,Forward,,NE Revolution,21,2002,11,8,706,3,2,5,1,0
406,Lassi Lappalainen,FIN,Defender,Midfielder,CF Montréal,25,1998,11,1,331,0,1,1,0,0
407,Oliver Larraz,USA,Midfielder,,Colorado Rapids,22,2001,34,25,"2,198",1,0,1,2,0
